domain,file_name,pages,url
finance,2024년 3월_2. 통화신용정책 운영.pdf,13,https://www.bok.or.kr/portal/bbs/B0000156/view.do?nttId=10082951&menuNo=200067&pageIndex=1
finance,2024년 3월_3. 향후 통화신용정책 방향.pdf,21,https://www.bok.or.kr/portal/bbs/B0000156/view.do?nttId=10082951&menuNo=200067&pageIndex=1
finance,★2019 제1회 증시콘서트 자료집_최종★.pdf,58,https://www.kofia.or.kr/brd/m_52/view.do?seq=252&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
finance,한-호주 퇴직연금 포럼_책자(최종).pdf,50,https://www.kofia.or.kr/brd/m_52/view.do?seq=253&srchFr=&srchTo=&srchWord=&srchTp=&multi_itm_seq=0&itm_seq_1=0&itm_seq_2=0&company_cd=&company_nm=&page=1
finance,240409(보도자료) 금융위 핀테크 투자 생태계 활성화 나선다.pdf,6,https://www.fsc.go.kr/po010101?srchCtgry=1
finance,240320(보도자료) 금융권의 상생금융 추진현황.pdf,7,https://www.fsc.go.kr/po010102?srchCtgry=2
finance,240130(보도자료) 지방은행의 시중은행 전환시 인가방식 및 절차.pdf,7,https://www.fsc.go.kr/po010102?srchCtgry=2
finance,[별첨] 지방은행의 시중은행 전환시 인가방식 및 절차.pdf,15,https://www.fsc.go.kr/po010102?srchCtgry=2
finance,130292099630937500_KIFVIP2013-10.pdf,55,https://vwserver.kif.re.kr/flexer/viewer.jsp?dir=km&mid=10&cno=150310&fk=2013016987IQ&ft=0&ftype=pdf
finance,133178946057443204_WP22-05.pdf,69,https://vwserver.kif.re.kr/flexer/viewer.jsp?dir=km&mid=15&cno=303581&fk=2023000455IM&ft=0&ftype=pdf
public,(240411보도자료) 재정동향 4월호.pdf,4,https://www.moef.go.kr/pl/policydta/pblictn/detailPblictnbbsView.do?searchBbsId1=MOSFBBS_000000000001&searchNttId1=MOSF_000000000068457&menuNo=5020300
public,2023_2027 국가재정운용계획 주요내용.pdf,38,https://www.moef.go.kr/pl/policydta/pblictn/detailPblictnbbsView.do?searchBbsId1=MOSFBBS_000000000005&searchNttId1=MOSF_000000000067105&menuNo=5020300
public,(보도자료)2024년+교육부+주요정책+추진계획+발표_보도자료.pdf,6,https://www.moe.go.kr/sub/infoRenew.do?page=72760&m=031101&s=moe
public,제4차(24_28)+학교도서관+진흥+기본계획.pdf,30,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=316&boardSeq=98725&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=0302&opType=N
public,국가안전시스템 개편 종합대책 대국민 보고(12.31. 기준).pdf,21,https://www.mois.go.kr/frt/bbs/type001/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000500&nttId=106621#none
public,2024년 행정안전부 업무계획.pdf,21,https://www.mois.go.kr/frt/bbs/type001/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000245&nttId=108550#none
public,2024년+국립대학+육성사업+기본계획.pdf,25,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=337&boardSeq=98698&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=0303&opType=N
public,2024년 주요업무 추진계획.pdf,17,https://www.mss.go.kr/site/smba/foffice/ex/jobPlan/jobPlanList.do
public,외교부-2024년 앙골라개황(저).pdf,48,https://www.mofa.go.kr/www/brd/m_4099/view.do?seq=367714&page=1
public,240418 도로터널 결로대책 가이드라인(최종).pdf,9,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?search=&srch_dept_nm=&srch_dept_id=&srch_usr_nm=&srch_usr_titl=Y&srch_usr_ctnt=&search_regdate_s=&search_regdate_e=&psize=10&s_category=&p_category=&lcmspage=1&id=4758
public,전문교육기관ᆞ항공훈련기관 지정ᆞ인가 및 안전관리 현황__.pdf,7,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?search=&srch_dept_nm=&srch_dept_id=&srch_usr_nm=&srch_usr_titl=Y&srch_usr_ctnt=&search_regdate_s=&search_regdate_e=&psize=10&s_category=&p_category=&lcmspage=2&id=4746
public,240319 알기쉬운 청년농신보 책자(최종본)★_배포용.pdf,32,https://www.mafra.go.kr/home/5248/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGaG9tZSUyRjc5NSUyRjU2OTc3OSUyRmFydGNsVmlldy5kbyUzRmJic0NsU2VxJTNEJTI2cmdzRW5kZGVTdHIlM0QlMjZiYnNPcGVuV3JkU2VxJTNEJTI2cGFzc3dvcmQlM0QlMjZzcmNoQ29sdW1uJTNEJTI2cGFnZSUzRDElMjZyZ3NCZ25kZVN0ciUzRCUyNnJvdyUzRDEwJTI2aXNWaWV3TWluZSUzRGZhbHNlJTI2c3JjaFdyZCUzRCUyNg%3D%3D
medical,"[3.22.목.석간]질병관리본부_-_대한안과학회,_눈건강_관리를_위한_9대_생활수칙_발표.pdf",3,https://www.kdca.go.kr/filepath/boardDownload.es?bid=0021&list_no=127700&seq=199
medical,Kafm015-11-15.pdf,6,https://kjfm.or.kr/upload/pdf/Kafm015-11-15.pdf
medical,2014_08.pdf,2,https://www.ophthalmology.org/publication/pdf/2014_08.pdf
medical,2017년-안과감염병-관리지침.pdf,43,https://www.gidcc.or.kr/wp-content/uploads/2017/09/2017%EB%85%84-%EC%95%88%EA%B3%BC%EA%B0%90%EC%97%BC%EB%B3%91-%EA%B4%80%EB%A6%AC%EC%A7%80%EC%B9%A8.pdf
medical,9906002.pdf,5,https://www.jkna.org/upload/pdf/9906002.pdf
medical,20080813_E_2.pdf,36,https://www.hallym.or.kr/chpfile/gungang/20080813_E_2.pdf
medical,2015_21v53xmj21xyn_e21e2ee23r3grrh3.pdf,11,https://www.gidcc.or.kr/wp-content/uploads/2016/11/2015_21v53xmj21xyn_e21e2ee23r3grrh3.pdf
medical,소비자시대 12_20~21 겨울철 더욱 위험한 안과질환.pdf,2,https://www.kca.go.kr/webzine/fileDownload?fileGubun=prewebzine&menuId=journal&userFileName=%EC%86%8C%EB%B9%84%EC%9E%90%EC%8B%9C%EB%8C%80%2012_20~21%20%EA%B2%A8%EC%9A%B8%EC%B2%A0%20%EB%8D%94%EC%9A%B1%20%EC%9C%84%ED%97%98%ED%95%9C%20%EC%95%88%EA%B3%BC%EC%A7%88%ED%99%98.pdf&systemFileName=20180102034554862.pdf
medical,질환별 약제정보_송영천_안구건조증(1).pdf,4,https://www.health.kr/Menu.PharmReview/_uploadfiles/%EC%A7%88%ED%99%98%EB%B3%84%20%EC%95%BD%EC%A0%9C%EC%A0%95%EB%B3%B4_%EC%86%A1%EC%98%81%EC%B2%9C_%EC%95%88%EA%B5%AC%EA%B1%B4%EC%A1%B0%EC%A6%9D(1).pdf
medical,jkan-38-140.pdf,12,https://synapse.koreamed.org/upload/synapsedata/pdfdata/1006jkan/jkan-38-140.pdf
medical,journal-31-3-308.pdf,33,https://www.kihasa.re.kr/hswr/assets/pdf/607/journal-31-3-308.pdf
medical,08 알기 쉬운 대장암.pdf,20,https://cancer.go.kr/download.do?uuid=d4659356-674a-42ee-9818-3c933271a5e2.pdf
medical,KJFP003-01-08.pdf,7,https://www.kjfp.or.kr/journal/download_pdf.php?spage=58&volume=3&number=1
medical,kjg-74-4.pdf,7,https://synapse.koreamed.org/upload/synapsedata/pdfdata/0028kjg/kjg-74-4.pdf
medical,jksc-25-356.pdf,7,https://coloproctol.org/upload/pdf/jksc-25-356.pdf
medical,enm-26-126.pdf,7,https://e-enm.org/upload/pdf/enm-26-126.pdf
medical,Colorectal-Screening-Korean-patient-guideline.pdf,50,https://www.nccn.org/patients/guidelines/content/PDF/Colorectal-Screening-Korean-patient-guideline.pdf
medical,14.cancer_info.pdf,11,https://cancer.amc.seoul.kr/asan/file/downDomainFile.do?fileName=homebuilder/D055/14.cancer_info.pdf
medical,4e304ca4ed0e0b678457e0cf26e372f42395.pdf,10,https://pdfs.semanticscholar.org/b8bc/4e304ca4ed0e0b678457e0cf26e372f42395.pdf
medical,위식도역류성질환(Gastroesophageal Reflux Disease) (2).pdf,17,https://www.health.kr/Menu.PharmReview/_uploadfiles/%EC%9C%84%EC%8B%9D%EB%8F%84%EC%97%AD%EB%A5%98%EC%84%B1%EC%A7%88%ED%99%98(Gastroesophageal%20Reflux%20Disease)%20(2).pdf
law,[민사] 스마트폰 성능조절기능이 탑재된 소프트웨어 업데이트로 인한 일부 성능제한 또는 앱 실행지연 등 불이익한 결과 초래 가능성에 대한 고지의무 불완전이행 여부가 문제된 사안.pdf,35,https://slgodung.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25500&gubun=44&cbub_code=000200&searchWord=%BD%BA%B8%B6%C6%AE%C6%F9&pageIndex=1
law,[행정] 금품 등 약속이 공무원 재직 중에 이루어지고 수수가 퇴직 후에 이루어진 경우 공무원연금법에 해당하는 지가 문제된 사건.pdf,27,https://slgodung.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25474&gubun=44&cbub_code=000200&searchWord=%B1%DD%C7%B0&pageIndex=1
law,[특허] 제1항 출원발명은 진보성이 부정된다고 판단한 사례(특허법원 2023허10705).pdf,18,https://patent.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25483&gubun=44&cbub_code=000700&searchWord=%C1%A61%C7%D7%20%C3%E2%BF%F8&pageIndex=1
law,[형사] 피고인이 자신이 근무하는 시청 사무실에서 소속 팀장과 방문자 사이의 대화를 피고인의 휴대전화로 녹음하여 통신비밀보호법 위반으로 기소된 사건.pdf,8,https://slgodung.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25475&gubun=44&cbub_code=000200&searchWord=%C7%C7%B0%ED%C0%CE%C0%CC&pageIndex=1
law,[행정][조세] 가상자산 거래소를 운영하는 원고가 2017년에 비거주자인 회원들에게 지급한 가상자산 거래로 인한 차익.pdf,14,https://sladmin.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25686&gubun=44&cbub_code=&scode_kname=%BF%EC%B8%AE%B9%FD%BF%F8%20%C1%D6%BF%E4%C6%C7%B0%E1&searchWord=&currentPage=
law,[행정] 원고가 담배브랜드의 상표 등 사용에 관하여 다국적기업에게 지급하는 로열티가 원고가 다른 계열사 등으로부터 수입하는 담배재료의 권리사용료라는 전제에서 관세가 부과되자 그 부과처분의 취소를 구하는 사건.pdf,55,https://slgodung.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25297&gubun=44&cbub_code=000200&searchWord=%BF%F8%B0%ED%B0%A1%20%B4%E3%B9%E8&pageIndex=1
law,재해보상판례 당직 중 사적 행위의 공무수행성 여부.pdf,9,https://www.mpm.go.kr/mpm/info/compens/compens09/?boardId=bbs_0000000000000204&mode=view&cntId=153&category=%EC%9C%A0%EC%A1%B1%EA%B8%89%EC%97%AC&pageIdx=
law,2024 달라지는 세금제도.pdf,32,https://www.kacpta.or.kr/data/notice/notice/%281%29%202024%20%EB%8B%AC%EB%9D%BC%EC%A7%80%EB%8A%94%20%EC%84%B8%EA%B8%88%EC%A0%9C%EB%8F%84.pdf
law,[민사] 미성년자 성형외과 코필러 주입술 시 필러물질이 미성년자에 대한 사용금지 조치를 받은 상태였던 사안.pdf,20,https://slgodung.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25038&gubun=44&cbub_code=000200&searchWord=%B9%CC%BC%BA%B3%E2%C0%DA&pageIndex=1
law,[민사] 분양받은 상가 내에 설치된 기둥으로 인해 공간활용 제한 등 손해를 입었다고 주장하면서 수분양자들이 분양자를 상대로 고지의무위반을 이유로 손해배상을 구한 사건.pdf,16,https://slgodung.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=23776&gubun=44&cbub_code=000200&searchWord=%BA%D0%BE%E7%B9%DE%C0%BA&pageIndex=1
law,"[행정] 타인자금(예금, 보험료 등 고객의 예탁자금)이 아닌 자기자금(자본금, 대출금 등 자신의 고유재산)을 운용하는 경우에도 공정거래법 제11조에 의한 의결권 제한이 적용되는지가 문제된 사건.pdf",32,https://slgodung.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25656&gubun=44&cbub_code=000200&searchWord=&pageIndex=1
law,"[특허] 원고 제품들의 실시가 피고의 제1, 3, 5항 발명을 침해하지 않는다고 판단한 사례(특허법원 2022나2213).pdf",25,https://patent.scourt.go.kr/dcboard/new/DcNewsViewAction.work?seqnum=25395&gubun=44&cbub_code=000700&searchWord=&pageIndex=2
commerce,MezzoMedia 산업 보고서 e커머스.pdf,32,https://lib.mezzomedia.co.kr/newsletter/202203/01_MezzoMedia_Industrial_Report_ecommerce.pdf
commerce,이커머스 솔루션 소개자료.pdf,51,https://bespinglobal.com/download/2022pdf/ecommerce.pdf
commerce,Dighty Data Insight Report 2023.pdf,26,https://www.dighty.com/files/insight-report/2023/Dighty_data_insight_report_2023.pdf
commerce,kr-im-new-luxury-business-trends-20220520.pdf,32,https://assets.kpmg.com/content/dam/kpmg/kr/pdf/2022/issue-monitor/kr-im-new-luxury-business-trends-20220520.pdf
commerce,이커머스의 진화와 소비자 후생.pdf,8,http://www.kinternet.org/upload/board/90_f_167749156298000.pdf
commerce,쿠팡 상장과 이베이 인수  이후 국내 이커머스 시장은 어떻게 변할까.pdf,25,https://www.shippingnewsnet.com/news/download.php?subUploadDir=202107/&savefilename=43370_1786.pdf&filename=%EC%9D%B4%EC%BB%A4%EB%A8%B8%EC%8A%A4%20%EC%8B%9C%EC%9E%A5%20%EB%B6%84%EC%84%9D.pdf&idxno=1786
commerce,PRP008.pdf,9,https://repository.krei.re.kr/bitstream/2018.oak/30502/1/PRP008.pdf
commerce,B2BDigCommEra_Translation_KR_Offer_V1.pdf,19,https://business.adobe.com/content/dam/dx/kr/ko/resources/reports/pdf/4342398_9440_APAC_FY22Q3_B2BDigCommEra_Translation_KR_Offer_V1.pdf
commerce,KCA Media Issue Trend Vol 50 Report.pdf,9,https://www.kca.kr/Media_Issue_Trend/vol50/download/KCA_Media_Issue_Trend_vol50_trend_report_03.pdf
commerce,중국21-18호 2021 라이브커머스 산업 보고.pdf,34,https://welcon.kocca.kr/ko/info/trend/1951110